category,format,time
distinct_user_id,lite3,11699.200000
distinct_user_id,lite3_context_api,11868.900000
distinct_user_id,nlohmann_json,5283436.600000
distinct_user_id,rapidjson,1085541
distinct_user_id,simdjson_dom,150541.100000
distinct_user_id,simdjson_dom_json_pointer,157783.500000
distinct_user_id,simdjson_ondemand,85035.900000
distinct_user_id,simdjson_ondemand_json_pointer,97855.500000
distinct_user_id,yyjson,207233.200000
find_tweet,lite3,448.400000
find_tweet,lite3_context_api,455.600000
find_tweet,rapidjson,1075215.200000
find_tweet,simdjson_dom,143567.100000
find_tweet,simdjson_ondemand,53937.300000
find_tweet,yyjson,203146.500000
json2msgpack,nlohmann_json,21563489.600000
json2msgpack,rapidjson,901240.500000
json2msgpack,simdjson_dom,250653
json2msgpack,simdjson_ondemand,200296.400000
json2msgpack,yyjson,313039.900000
kostya,nlohmann_json,1245415277.100000
kostya,rapidjson,196994576
kostya,simdjson_dom,49309718.500000
kostya,simdjson_ondemand,33349234.700000
kostya,yyjson,87588022.100000
large_random,nlohmann_json,780660939.200000
large_random,rapidjson,137928332.900000
large_random,simdjson_dom,53944869
large_random,simdjson_ondemand,36684275.700000
large_random,yyjson,51197286
partial_tweets,lite3,17659.200000
partial_tweets,lite3_context_api,17820.300000
partial_tweets,nlohmann_json,5700429
partial_tweets,rapidjson,1091550.900000
partial_tweets,simdjson_dom,153397.400000
partial_tweets,simdjson_ondemand,91089.700000
top_tweet,lite3,2220.900000
top_tweet,lite3_context_api,2284.800000
top_tweet,rapidjson,1081986.500000
top_tweet,simdjson_dom,147264.300000
top_tweet,simdjson_ondemand,91183.600000
top_tweet,simdjson_ondemand_forward_only,87113
top_tweet,yyjson,205425.500000
